generation,best_fitness,avg_fitness,diversity
1,0.0079278668,0.0065259333,0.9366122449
2,0.0087348552,0.0068871256,0.9264489796
3,0.0087348552,0.0072802058,0.9065306122
4,0.0089477155,0.0078438706,0.8731836735
5,0.0109253921,0.0080841598,0.8640816327
6,0.0109253921,0.0085756870,0.8609795918
7,0.0109253921,0.0089199812,0.8719183673
8,0.0109253921,0.0094318987,0.8504081633
9,0.0109763068,0.0098807244,0.7995918367
10,0.0109763068,0.0100195243,0.7596734694
11,0.0113610000,0.0102324343,0.6776326531
12,0.0113610000,0.0102537231,0.6804489796
13,0.0113610000,0.0105942695,0.6254693878
14,0.0113842374,0.0106600599,0.6235102041
15,0.0113979663,0.0107991017,0.6606938776
16,0.0114683002,0.0106294985,0.6928571429
17,0.0116425325,0.0106335320,0.7008163265
18,0.0120025888,0.0108666606,0.6604897959
19,0.0120025888,0.0107187590,0.6804081633
20,0.0120025888,0.0109746284,0.6800000000
21,0.0120025888,0.0113863420,0.4898367347
22,0.0120025888,0.0117737099,0.2327755102
23,0.0120025888,0.0118705552,0.1292244898
24,0.0120025888,0.0118708052,0.0119591837
25,0.0120025888,0.0118977311,0.0119591837
26,0.0125253840,0.0119876920,0.0080000000
27,0.0125253840,0.0120056491,0.0118367347
28,0.0125253840,0.0120653242,0.0215510204
29,0.0125253840,0.0120402149,0.1006530612
30,0.0125253840,0.0123735528,0.0463265306
31,0.0125253840,0.0122696606,0.0238367347
32,0.0125253840,0.0125043295,0.0040000000
33,0.0125253840,0.0125135219,0.0040000000
34,0.0125253840,0.0124733158,0.0040000000
35,0.0125253840,0.0124567250,0.0040000000
36,0.0130622677,0.0122949841,0.0239183673
37,0.0130622677,0.0125374634,0.0308571429
38,0.0130622677,0.0125844695,0.0495918367
39,0.0130622677,0.0125418668,0.1410612245
40,0.0134221113,0.0128978746,0.0755510204
41,0.0134221113,0.0130072754,0.0390612245
42,0.0134221113,0.0131389476,0.0537142857
43,0.0134221113,0.0132371462,0.0564081633
44,0.0134221113,0.0132665944,0.0878367347
45,0.0134221113,0.0132857039,0.0080000000
46,0.0134221113,0.0132873855,0.0079591837
47,0.0134221113,0.0133622867,0.0040000000
48,0.0134221113,0.0133883570,0.0040000000
49,0.0134221113,0.0132964592,0.0160000000
50,0.0134221113,0.0133102655,0.0079591837
51,0.0134221113,0.0132296338,0.0160000000
52,0.0134221113,0.0132888033,0.0080000000
53,0.0134221113,0.0133681680,0.0040000000
54,0.0134221113,0.0131519554,0.0159591837
55,0.0134221113,0.0132604835,0.0119591837
56,0.0134221113,0.0133327417,0.0080000000
57,0.0134221113,0.0134221113,0.0000000000
58,0.0134221113,0.0133578543,0.0040000000
59,0.0134221113,0.0133782782,0.0040000000
60,0.0139276503,0.0132667173,0.0198775510
61,0.0139276503,0.0133892668,0.0297142857
62,0.0139276503,0.0133442026,0.0751836735
63,0.0139276503,0.0134305015,0.0985306122
64,0.0139276503,0.0133308360,0.1564081633
65,0.0141864573,0.0136621470,0.0871836735
66,0.0141864573,0.0139483548,0.0150204082
67,0.0141864573,0.0138670881,0.0390204082
68,0.0141864573,0.0139072148,0.1683265306
69,0.0141864573,0.0140334606,0.0362448980
70,0.0141864573,0.0140041699,0.0120000000
71,0.0141864573,0.0141864573,0.0000000000
72,0.0141864573,0.0141864573,0.0000000000
73,0.0141864573,0.0141214357,0.0080000000
74,0.0141864573,0.0139456730,0.0199183673
75,0.0141864573,0.0139997686,0.0119591837
76,0.0141864573,0.0138523677,0.0119591837
77,0.0141864573,0.0140343675,0.0118775510
78,0.0141864573,0.0139781354,0.0159591837
79,0.0141864573,0.0139643774,0.0159183673
80,0.0141864573,0.0140150365,0.0159591837
81,0.0141864573,0.0141207000,0.0040000000
82,0.0141864573,0.0141860836,0.0040000000
83,0.0141864573,0.0140867814,0.0080000000
84,0.0141864573,0.0141864573,0.0000000000
85,0.0141864573,0.0140428277,0.0079591837
86,0.0141864573,0.0140834758,0.0120000000
87,0.0141864573,0.0140059013,0.0159591837
88,0.0141864573,0.0140869485,0.0120000000
89,0.0141864573,0.0140027777,0.0119591837
90,0.0141864573,0.0139055660,0.0197551020
91,0.0141864573,0.0139134826,0.0159591837
92,0.0141864573,0.0139196575,0.0159591837
93,0.0141864573,0.0140872314,0.0080000000
94,0.0141864573,0.0139693484,0.0120000000
95,0.0141864573,0.0140896866,0.0040000000
96,0.0141864573,0.0140903994,0.0119591837
97,0.0141864573,0.0141326888,0.0080000000
98,0.0141864573,0.0141310825,0.0040000000
99,0.0141864573,0.0141526462,0.0040000000
100,0.0141864573,0.0140711419,0.0040000000
